first_tag,second_tag,added,same,modified,removed,date
1.4,1.5.0,2681,43708,2162,17370,2009-02-18
1.5.0,1.5.1,34218,25802,3220,38813,2009-08-05
1.5.1,1.5.2,18832,46583,2420,19665,2009-08-17
1.5.2,1.6.1,10056,50312,8300,28187,2009-11-05
1.6.1,2.0.0,24236,55784,6779,53023,2010-06-05
2.0.0,2.0.1,4,115527,55,117,2010-07-06
2.0.1,3.0.0,49353,56547,9799,121900,2012-02-07
3.0.0,3.0.1,34,188138,74,810,2012-03-12
3.0.1,3.1.0,9059,176395,3568,11306,2012-06-22
3.1.0,3.1.1,77,191025,167,834,2012-09-17
3.1.1,3.1.2,17,191978,31,104,2012-09-27
3.1.2,3.2.0,20767,152573,18773,86588,2012-12-17
3.2.0,3.2.1,980,255160,1794,3277,2013-02-28
3.2.1,3.2.2,960,256727,2544,902,2013-04-16
3.2.2,3.3.0,24408,222081,13684,115149,2013-06-20
3.3.0,3.3.1,2009,346263,2642,10773,2013-09-11
3.3.1,3.3.2,6,359586,86,223,2013-10-24
3.3.2,3.4.0,112038,244509,3348,43698,2013-10-24
3.4.0,3.4.1,1153,288796,1606,1048,2013-12-16
3.4.1,3.4.2,195,291015,240,649,2014-02-25
3.4.2,4.0.0,75160,209954,6790,140631,2014-05-30
4.0.0,4.0.1,4351,351095,1929,1992,2014-08-04
4.0.1,4.0.2,451,354262,303,969,2014-11-03
4.0.2,4.1.0,27777,315862,11895,91906,2015-01-28
4.1.0,4.1.1,15309,373475,30879,18502,2015-05-07
4.1.1,4.1.2,54,422660,142,420,2015-07-28
4.1.2,4.2.0,68327,346961,7934,83345,2015-10-22
4.2.0,4.2.1,271,437667,302,775,2015-12-07
4.2.1,4.2.2,167,438207,370,1041,2016-04-27
4.2.2,4.3.0,27843,402949,8826,43871,2016-08-09
4.3.0,4.3.1,456,454911,279,969,2016-12-14
4.3.1,4.4.0,30223,421785,4151,46990,2017-03-07
4.4.0,4.4.1,143,472537,246,1053,2017-05-08
4.4.1,4.4.2,57,473604,175,434,2017-08-30
