tag,code,blank,comment,nFiles,release_date
1.4,48551,8727,11154,419,2009-01-06
1.5.0,63240,11018,18457,512,2009-02-18
jaunty,70751,11840,19671,578,2009-06-23
1.5.1,67939,11618,18131,600,2009-08-05
1.5.2,68564,11555,11906,611,2009-08-17
karmic,81579,14049,40765,719,2009-10-13
1.6.1,86799,14582,41327,744,2009-11-05
1.0-beta,94429,15453,42850,800,2010-03-05
2.0-beta,94919,15569,42738,806,2010-03-09
2.0.0,115586,18488,42717,1074,2010-06-05
2.0.1,115699,18492,42724,1074,2010-07-06
2.0-branch,123741,19466,46385,1118,2010-10-15
3.0-alpha1,153848,23834,58649,1450,2011-04-22
3.0-beta2,183517,29409,63977,1763,2011-07-25
3.0-beta3,185394,29862,64602,1782,2011-08-19
3.0-beta4,182798,29275,60024,1670,2011-12-05
3.0-beta5,186000,29538,60161,1678,2012-01-09
3.0-beta6,187825,29769,60839,1692,2012-01-20
3.0-rc1,188236,29836,60879,1694,2012-02-02
3.0-rc2,188246,29836,60879,1694,2012-02-05
3.0-rc3,188246,29836,60879,1694,2012-02-07
3.0.0,188246,29836,60879,1694,2012-02-07
3.0.1,189022,29945,61587,1696,2012-03-12
ha-baseline,187129,29610,62131,1642,2012-05-04
3.1-alpha2,186827,29480,62254,1639,2012-05-18
3.1-beta1,190467,29887,62365,1641,2012-05-25
3.1.0,191269,29973,62628,1642,2012-06-22
3.1.1,192026,30086,62931,1645,2012-09-17
3.1.2,192113,30101,62959,1646,2012-09-27
3.2.0,257934,43596,119688,2004,2012-12-17
3.3-m1,268534,46367,136587,2078,2013-01-22
3.3-m2,280244,47793,138650,2173,2013-02-04
3.3-m3,293888,49852,141652,2257,2013-02-25
3.2.1,260231,43992,120082,2011,2013-02-28
3.3-m4,309280,52661,149586,2326,2013-03-14
3.3-m5,351711,59590,156402,2640,2013-04-11
3.2.2,260173,43974,120045,2007,2013-04-16
3.3-m6,361846,61304,160169,2743,2013-04-23
3.3.0,350914,58798,159566,2682,2013-06-20
3.3.0.1,350913,58798,159566,2682,2013-06-20
3.3.1,359678,60196,161364,2760,2013-09-11
3.3.2,359895,60217,161391,2760,2013-10-24
3.4.0,291555,48371,149981,2367,2013-10-24
3.4.1,291450,48466,150105,2372,2013-12-16
3.4.2,291904,48513,150112,2372,2014-02-25
4.0.0,357375,57707,159944,2790,2014-05-30
4.0.1,355016,57475,159996,2792,2014-08-04
4.0.2,355534,57580,160417,2798,2014-11-03
4.1.0,419663,68854,208270,3283,2015-01-28
4.1.1,422856,69263,208361,3293,2015-05-07
4.1.2,423222,69317,208430,3293,2015-07-28
4.2.0,438240,71324,218459,3439,2015-10-22
4.2.1,438744,71439,218542,3439,2015-12-07
4.2.2,439618,71533,218728,3442,2016-04-27
4.3.0,455646,72172,219435,3405,2016-08-09
4.3.0.1,455662,72174,219420,3404,2016-09-15
4.3.1,456159,72232,219480,3405,2016-12-14
4.3.1.1,456159,72232,219480,3405,2017-02-02
4.4.0,472926,75325,216544,3597,2017-03-07
4.4.1,473836,75392,216678,3598,2017-05-08
4.4.2,474213,75436,216751,3599,2017-08-30
